Replicate	Sites Masked (%)	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
1	10	2	2	9	10	0.2	10	1.1
1	20	2	2	8	10	0.2	10	1.1
1	30	5.5	7	8	9	0.6	10	1.2
1	40	0	0	10	10	0	10	1.1
1	50	10.5	16	5	9	1.5	10	1.9
2	10	0	0	10	10	0	10	1
2	20	5.5	14	8	9	0.7	10	1.2
2	30	4.5	6	6	9	0.5	10	1.4
2	40	16.5	26	4	5	1.888888889	9	1.5
2	50	15.5	18	3	9	1.7	10	1.4
3	10	3	3	7	10	0.3	10	1
3	20	2	2	8	10	0.2	10	1.1
3	30	5	7	4	10	0.7	10	1.1
3	40	4	4	8	10	0.4	10	1
3	50	17.5	30	1	6	2.7	10	1.7
4	10	1	1	9	10	0.1	10	1
4	20	6	7	6	10	0.7	10	1
4	30	8	11	5	10	0.9	10	1.3
4	40	8.5	13	7	10	1	10	1.1
4	50	12.5	-61287	4	9	2.222222222	9	1.7
5	10	1	1	9	10	0.1	10	1
5	20	1	1	9	10	0.1	10	1
5	30	6	6	5	10	0.6	10	1.1
5	40	3	3	8	10	0.3	10	1.3
5	50	7.5	17	5	9	1	10	1.2
6	10	1	1	9	10	0.1	10	1.2
6	20	7.5	-59277	6	8	0.666666667	9	1.3
6	30	11.5	19	3	7	1.5	10	1.3
6	40	12.5	17	5	8	1.5	10	1.7
6	50	21.5	39	3	5	2.6	10	1.5
7	10	1	1	9	10	0.1	10	1.1
7	20	2	2	9	10	0.2	10	1.1
7	30	7.5	9	6	9	0.8	10	1
7	40	7	-58915	7	9	0.555555556	9	1.2
7	50	15.5	-59170	5	6	2.111111111	9	1.8
8	10	1.5	3	8	10	0.2	10	1.2
8	20	2	2	9	10	0.2	10	1.4
8	30	3.5	6	6	9	0.5	10	1.5
8	40	11	20	6	7	1.3	10	1.1
8	50	8	15	5	8	1.1	10	1.6
9	10	2	2	7	9	0.222222222	9	1.2
9	20	1	1	8	9	0.111111111	9	1.1
9	30	5	-58979	6	8	0.5	8	1.4
9	40	13	-59652	2	8	1.888888889	9	1.4
9	50	15	-63205	1	7	2.875	8	1.6
10	10	2	2	8	10	0.2	10	1
10	20	2.5	4	8	10	0.3	10	1
10	30	5.5	7	6	10	0.6	10	1
10	40	11	15	4	9	1.3	10	1.2
10	50	14	22	4	7	1.8	10	1.1
11	10	0	0	10	10	0	10	1
11	20	4	4	8	10	0.4	10	1
11	30	6	6	6	10	0.6	10	1
11	40	15	-63522	3	8	1.555555556	9	1.2
11	50	8	-59100	6	9	0.333333333	9	1.2
12	10	2	2	8	10	0.2	10	1
12	20	2.5	4	8	9	0.3	10	1.2
12	30	3.5	5	7	9	0.4	10	1
12	40	12	-59653	5	8	1.3	10	1
12	50	19.5	-59635	1	6	3.1	10	1.2
13	10	1	1	9	10	0.1	10	1
13	20	1	1	9	10	0.1	10	1.1
13	30	8	-63220	5	9	0.555555556	9	1.3
13	40	11	15	5	8	1.3	10	1.2
13	50	14	24	5	8	2.2	10	1
14	10	2	2	8	10	0.2	10	1
14	20	4	4	7	9	0.333333333	9	1.4
14	30	2	2	8	10	0.2	10	1.1
14	40	5	5	7	10	0.5	10	1.4
14	50	6	6	8	9	0.555555556	9	1.5
15	10	0.5	2	9	10	0.1	10	1.2
15	20	1.5	3	8	10	0.2	10	1.2
15	30	7	12	5	10	1.1	10	1.5
15	40	8	11	5	10	0.9	10	1.2
15	50	14	19	4	8	1.7	10	1.5
16	10	3	3	8	10	0.3	10	1
16	20	6	6	7	9	0.6	10	1.3
16	30	7.5	10	7	8	0.9	10	1.3
16	40	17.5	19	3	6	1.8	10	1.9
16	50	20.5	-59805	4	5	2.6	10	1.8
17	10	2	2	8	10	0.2	10	1.1
17	20	4.5	6	8	9	0.5	10	1.1
17	30	11.5	-59268	5	6	1.333333333	9	1.4
17	40	4	4	6	10	0.4	10	1.7
17	50	13.5	-60595	3	7	1.555555556	9	1.2
18	10	4	4	7	10	0.4	10	1.3
18	20	2	2	8	10	0.2	10	1.1
18	30	2.5	4	9	9	0.3	10	1.2
18	40	14.5	17	4	9	1.6	10	1.5
18	50	17	-63204	5	8	2.2	10	1.9
19	10	0.5	2	9	10	0.1	10	1
19	20	11	18	6	8	1.2	10	1.5
19	30	10	18	4	9	1.2	10	1.2
19	40	5	8	5	10	0.6	10	1.1
19	50	8	13	6	10	1.1	10	1
20	10	1	1	8	9	0.111111111	9	1
20	20	9	12	4	8	1.111111111	9	1
20	30	6.5	8	5	9	0.777777778	9	1.1
20	40	19.5	-63201	2	6	2.625	8	2
20	50	14	-59182	3	6	1.777777778	9	1.5
21	10	2	2	8	10	0.2	10	1
21	20	3	3	7	9	0.222222222	9	1.1
21	30	9.5	19	4	10	1.6	10	1.1
21	40	7	7	6	9	0.666666667	9	1.1
21	50	14	-63208	3	7	1.888888889	9	1.7
22	10	4.5	-59171	7	8	0.555555556	9	1.3
22	20	7.5	-59952	5	7	0.888888889	9	1.4
22	30	6.5	9	7	8	0.8	10	1.2
22	40	10	16	3	8	1.2	10	1.3
22	50	15.5	22	4	5	1.9	10	1
23	10	1	1	8	9	0.111111111	9	1
23	20	2.5	5	7	8	0.333333333	9	1.5
23	30	5	5	7	8	0.555555556	9	1.6
23	40	10.5	-63525	4	7	1.333333333	9	1.6
23	50	24.5	32	2	4	3	9	1.4
24	10	6	6	6	9	0.6	10	1.5
24	20	2	2	8	10	0.2	10	1.3
24	30	7	8	5	9	0.8	10	1.2
24	40	11	16	4	7	1.4	10	1.6
24	50	15	21	2	9	1.9	10	1.2
25	10	0	0	10	10	0	10	1
25	20	3.5	5	6	10	0.4	10	1
25	30	4.5	7	7	10	0.6	10	1
25	40	15.5	-63206	4	7	1.777777778	9	1.3
25	50	10	-60557	4	9	1.444444444	9	1
26	10	1	1	8	9	0.111111111	9	1
26	20	5.5	7	6	8	0.666666667	9	1.1
26	30	10	14	4	7	1.125	8	1.1
26	40	6	6	5	8	0.666666667	9	1
26	50	12	12	3	8	1.375	8	1.1
27	10	1	1	9	10	0.1	10	1
27	20	9	12	6	8	1	10	1
27	30	8.5	11	7	9	1	10	1
27	40	16.5	22	4	7	1.9	10	1
27	50	16	-60085	7	8	1.7	10	1.3
28	10	1	1	8	9	0.111111111	9	1
28	20	8.5	11	4	7	1.125	8	1.5
28	30	4	4	6	9	0.444444444	9	1
28	40	11.5	-59531	4	7	1	8	1.8
28	50	11	14	4	8	1.555555556	9	1.3
29	10	5	5	6	10	0.5	10	1.4
29	20	4	4	6	10	0.4	10	1.6
29	30	2	2	9	9	0.2	10	1.7
29	40	13.5	16	1	8	1.5	10	1.4
29	50	12.5	17	4	7	1.4	10	1.3
30	10	1	1	9	10	0.1	10	1
30	20	6	6	7	9	0.555555556	9	1.2
30	30	9	9	5	9	0.888888889	9	1.3
30	40	9	10	5	9	1	9	1.5
30	50	9.5	17	3	8	1.666666667	9	1.9
31	10	0	0	10	10	0	10	1.1
31	20	7	11	5	9	0.9	10	1.2
31	30	4.5	10	6	9	0.6	10	1.1
31	40	4.5	6	6	9	0.5	10	1.3
31	50	14	21	3	7	1.6	10	1.2
32	10	2	8	8	9	0.3	10	1.2
32	20	7.5	10	5	9	0.9	10	1.3
32	30	4.5	12	7	8	0.6	10	1.2
32	40	12	18	5	7	1.4	10	1.2
32	50	15.5	26	1	6	2	10	1.7
33	10	1	1	9	10	0.1	10	1
33	20	4	4	8	10	0.4	10	1.2
33	30	3	4	6	10	0.4	10	1.2
33	40	6	8	5	10	0.8	10	1.1
33	50	17.5	25	3	7	2.2	10	1.5
34	10	0	0	10	10	0	10	1
34	20	1	1	9	10	0.1	10	1
34	30	4	-60606	7	9	0.222222222	9	1
34	40	9	10	4	9	1	9	1.1
34	50	12	18	6	8	1.6	10	1.1
35	10	0	0	10	10	0	10	1.1
35	20	1	1	9	10	0.1	10	1.1
35	30	6	6	5	10	0.6	10	1
35	40	15.5	24	3	9	2.2	10	1.3
35	50	7.5	13	6	9	1.2	10	1.3
36	10	3.5	13	6	9	0.444444444	9	1.1
36	20	1.5	11	8	9	0.222222222	9	1.3
36	30	4	4	7	9	0.444444444	9	1.2
36	40	9.5	-58717	5	8	1.333333333	9	2.1
36	50	6.5	19	6	8	0.888888889	9	1.5
37	10	1	1	8	9	0.111111111	9	1
37	20	1.5	3	8	8	0.222222222	9	1.1
37	30	4	7	6	8	0.555555556	9	1.2
37	40	8.5	17	5	7	1.111111111	9	1.2
37	50	9.5	-59652	3	9	1.555555556	9	1.3
38	10	0	0	10	10	0	10	1.1
38	20	3	3	8	9	0.3	10	1
38	30	3	3	7	10	0.3	10	1.2
38	40	13	24	4	8	1.7	10	1.4
38	50	14.5	28	4	7	1.7	10	1.3
39	10	2.5	4	9	9	0.3	10	1.1
39	20	5	5	7	10	0.5	10	1.2
39	30	5	5	6	10	0.5	10	1.3
39	40	16.5	-63204	3	7	2.4	10	1.2
39	50	12.5	-58748	4	7	1.222222222	9	1.4
40	10	4	4	7	9	0.333333333	9	1.2
40	20	8	13	6	8	1.2	10	1.2
40	30	4.5	11	5	10	1.1	10	1.7
40	40	4	5	6	9	0.444444444	9	1.4
40	50	13.5	28	2	8	2.777777778	9	1.5
41	10	0	0	10	10	0	10	1.1
41	20	3	3	9	10	0.3	10	1.3
41	30	3	6	7	10	0.4	10	1.1
41	40	4	7	7	9	0.5	10	1.6
41	50	7.5	16	6	8	1.3	10	1.1
42	10	1	1	9	10	0.1	10	1
42	20	2	2	8	10	0.2	10	1.4
42	30	10.5	-63525	5	8	1.333333333	9	1.5
42	40	6.5	12	7	9	0.7	10	1.3
42	50	13.5	15	4	8	1.4	10	1.4
43	10	2.5	4	8	10	0.3	10	1.2
43	20	2.5	5	8	9	0.3	10	1.1
43	30	8.5	12	6	10	0.9	10	1.1
43	40	3	8	8	9	0.4	10	1.3
43	50	11.5	-63208	4	9	0.666666667	9	1.4
44	10	1	1	9	10	0.1	10	1
44	20	4	6	7	9	0.5	10	1.1
44	30	10.5	12	5	9	1.1	10	1.1
44	40	6.5	16	6	9	0.7	10	1.3
44	50	12.5	19	5	7	1.4	10	1.2
45	10	2	2	8	10	0.2	10	1.2
45	20	2	2	8	10	0.2	10	1.3
45	30	5	5	7	9	0.222222222	9	1.1
45	40	9	10	6	9	0.777777778	9	1.2
45	50	18.5	-60084	2	6	1.888888889	9	1.2
46	10	2	2	8	10	0.2	10	1.1
46	20	5.5	7	5	9	0.6	10	1
46	30	7	10	6	8	0.8	10	1.1
46	40	12.5	-63523	4	8	1.222222222	9	1.4
46	50	11	14	3	8	1.2	10	1.2
47	10	2	-58756	8	9	0.111111111	9	1.3
47	20	6.5	8	6	8	0.7	10	1.7
47	30	10	-60581	4	7	1.111111111	9	2
47	40	3.5	5	7	9	0.4	10	1.4
47	50	21	-63512	2	6	3	9	1.5
48	10	2.5	4	8	9	0.3	10	1.4
48	20	0	0	10	10	0	10	1.2
48	30	11.5	-63213	4	8	1.222222222	9	1.2
48	40	9	9	3	8	0.9	10	1.5
48	50	11	11	4	7	0.875	8	1.1
49	10	3.5	9	8	8	0.5	10	1.3
49	20	1	5	9	9	0.2	10	1.3
49	30	3	7	8	9	0.4	10	1.5
49	40	11	16	5	8	1.3	10	1.6
49	50	8.5	23	6	8	1	10	1.8
50	10	4	-61306	7	9	0.333333333	9	1
50	20	7	-59193	7	8	0.666666667	9	1.2
50	30	4	5	6	10	0.5	10	1
50	40	16	20	4	8	1.8	10	1.7
50	50	18.5	35	4	6	2.6	10	1.2
51	10	0	0	10	10	0	10	1
51	20	1	1	9	9	0	9	1
51	30	6	-63222	5	9	0.555555556	9	1
51	40	11.5	-59447	6	9	1.4	10	1.4
51	50	13	-63204	4	7	1.666666667	9	1.3
52	10	2	2	9	9	0.2	10	1.1
52	20	3	3	8	9	0.3	10	1.1
52	30	4	4	6	9	0.333333333	9	1
52	40	17	17	3	8	1.777777778	9	1.3
52	50	15	-63523	5	8	1.555555556	9	1.3
53	10	1	1	8	9	0.111111111	9	1.2
53	20	2	2	7	9	0.222222222	9	1.1
53	30	1	1	8	9	0.111111111	9	1.1
53	40	11.5	16	4	7	1.666666667	9	1.6
53	50	9	14	5	9	1.222222222	9	1.3
54	10	2	2	7	9	0.222222222	9	1.4
54	20	3	3	6	9	0.333333333	9	1.2
54	30	7.5	-63518	5	5	1	8	1.8
54	40	6	10	4	7	0.888888889	9	1.5
54	50	6.5	11	5	7	0.888888889	9	2
55	10	2	2	8	10	0.2	10	1
55	20	4	7	5	9	0.444444444	9	1
55	30	8.5	13	6	9	1	10	1
55	40	7	15	4	9	1.3	10	1
55	50	16.5	26	1	8	2.2	10	1.6
56	10	1	1	8	9	0.111111111	9	1
56	20	3.5	5	6	8	0.444444444	9	1
56	30	6.5	13	6	9	1.444444444	9	1.2
56	40	4	4	5	8	0.375	8	1
56	50	7.5	9	5	7	0.875	8	1.2
57	10	5	-63530	5	9	0.444444444	9	1.2
57	20	3	6	6	10	0.4	10	1.2
57	30	4.5	6	7	9	0.5	10	1.3
57	40	8.5	-63525	4	8	0.888888889	9	1.4
57	50	11.5	19	3	9	1.7	10	1.2
58	10	2	11	6	9	0.333333333	9	1.1
58	20	4.5	6	7	9	0.555555556	9	1
58	30	6.5	11	4	7	1	9	1.3
58	40	7.5	18	5	8	1	9	1.1
