Replicate	Random Errors	RFDist	MCDist	N1 Identical	N1 Overlap	Average(N1+N2-2)	Not at Root	Parsimony Optimal
1	10	0	0	10	10	0	10	1.1
1	20	0	0	10	10	0	10	1.1
1	30	0	0	10	10	0	10	1.1
1	40	0	0	10	10	0	10	1.1
1	50	0.5	2	9	10	0.1	10	1.1
1	60	1	6	8	10	0.2	10	1.1
1	70	1	6	8	10	0.2	10	1.1
1	80	1	6	8	10	0.2	10	1.2
1	90	1	6	8	10	0.2	10	1.2
1	100	1.5	5	8	10	0.2	10	1.4
2	10	0	0	10	10	0	10	1
2	20	0	0	10	10	0	10	1
2	30	0	0	10	10	0	10	1
2	40	0	0	10	10	0	10	1
2	50	0	0	10	10	0	10	1
2	60	0	0	10	10	0	10	1
2	70	0	0	10	10	0	10	1
2	80	0	0	10	10	0	10	1
2	90	0	0	10	10	0	10	1
2	100	0	0	10	10	0	10	1
3	10	0	0	10	10	0	10	1
3	20	0	0	10	10	0	10	1
3	30	0	0	10	10	0	10	1
3	40	0.5	2	9	10	0.1	10	1.1
3	50	1.5	6	7	10	0.3	10	1
3	60	1.5	6	7	10	0.3	10	1.3
3	70	1.5	6	7	10	0.3	10	1.3
3	80	1.5	6	6	10	0.4	10	1.4
3	90	1.5	6	6	10	0.4	10	1.4
3	100	1.5	6	6	10	0.4	10	1.4
4	10	0.5	2	9	10	0.1	10	1
4	20	0.5	2	9	10	0.1	10	1
4	30	0.5	2	9	10	0.1	10	1
4	40	0.5	2	9	10	0.1	10	1
4	50	0.5	2	9	10	0.1	10	1
4	60	1	329	8	10	0.2	10	1.1
4	70	1	329	8	10	0.2	10	1.1
4	80	1	329	8	10	0.2	10	1.1
4	90	1	329	8	10	0.2	10	1.1
4	100	1	329	8	10	0.2	10	1.2
5	10	0.5	2	9	10	0.1	10	1
5	20	0.5	2	9	10	0.1	10	1
5	30	0.5	2	9	10	0.1	10	1
5	40	0.5	2	9	10	0.1	10	1.1
5	50	0.5	2	9	10	0.1	10	1.1
5	60	0.5	2	9	10	0.1	10	1.1
5	70	0.5	2	9	10	0.1	10	1.1
5	80	1	4	8	10	0.2	10	1.1
5	90	1	4	8	10	0.2	10	1.2
5	100	1	4	8	10	0.2	10	1.2
6	10	0	0	10	10	0	10	1.1
6	20	0	0	10	10	0	10	1.1
6	30	0	0	10	10	0	10	1.1
6	40	0	0	10	10	0	10	1.1
6	50	0	0	10	10	0	10	1.1
6	60	0	0	10	10	0	10	1.1
6	70	0.5	2	9	10	0.1	10	1.2
6	80	0.5	2	9	10	0.1	10	1.2
6	90	0.5	2	9	10	0.1	10	1.2
6	100	0.5	3	9	10	0.1	10	1.6
7	10	0	0	10	10	0	10	1.1
7	20	0	0	10	10	0	10	1.1
7	30	0.5	4	9	10	0.1	10	1.1
7	40	0.5	4	9	10	0.1	10	1.1
7	50	0.5	4	9	10	0.1	10	1.1
7	60	1	8	8	10	0.2	10	1.1
7	70	1	8	8	10	0.2	10	1.1
7	80	1	8	8	10	0.2	10	1.3
7	90	1	8	8	10	0.2	10	1.3
7	100	1	8	8	10	0.2	10	1.3
8	10	0.5	2	9	10	0.1	10	1.2
8	20	0.5	2	9	10	0.1	10	1.2
8	30	0.5	2	9	10	0.1	10	1.4
8	40	2.5	4	8	9	0.3	10	1.6
8	50	3	6	7	9	0.4	10	1.7
8	60	3	6	7	9	0.4	10	1.8
8	70	3	6	7	9	0.4	10	1.8
8	80	3.5	8	6	10	0.5	10	2.2
8	90	3.5	8	6	10	0.5	10	2.3
8	100	3.5	25	6	10	0.5	10	2.8
9	10	1	1	8	9	0.1111111111	9	1.2
9	20	1	1	8	9	0.1111111111	9	1.2
9	30	1	1	8	9	0.1111111111	9	1.2
9	40	1	1	8	9	0.1111111111	9	1.2
9	50	1	1	8	9	0.1111111111	9	1.2
9	60	1.5	4	7	9	0.2222222222	9	1.3
9	70	2	6	6	9	0.3333333333	9	1.2
9	80	2	6	6	9	0.3333333333	9	1.3
9	90	2	6	6	9	0.3333333333	9	1.4
9	100	2	6	6	9	0.3333333333	9	1.4
10	10	0.5	2	9	10	0.1	10	1
10	20	0.5	2	9	10	0.1	10	1.1
10	30	0.5	2	9	10	0.1	10	1.1
10	40	0.5	2	9	10	0.1	10	1.1
10	50	0.5	2	9	10	0.1	10	1.2
10	60	0.5	2	9	10	0.1	10	1.2
10	70	0.5	2	9	10	0.1	10	1.3
10	80	0.5	2	9	10	0.1	10	1.3
10	90	0.5	2	9	10	0.1	10	1.3
10	100	0.5	2	9	10	0.1	10	1.4
11	10	0	0	10	10	0	10	1
11	20	0	0	10	10	0	10	1
11	30	0	0	10	10	0	10	1
11	40	0	0	10	10	0	10	1.1
11	50	0	0	10	10	0	10	1.2
11	60	0	0	10	10	0	10	1.2
11	70	1	2	9	9	0.2	10	1.4
11	80	1.5	4	8	9	0.3	10	1.8
11	90	2	10	7	9	0.4	10	1.9
11	100	2	10	7	9	0.4	10	2
12	10	0	0	10	10	0	10	1
12	20	0	0	10	10	0	10	1
12	30	0	0	10	10	0	10	1
12	40	0	0	10	10	0	10	1
12	50	0	0	10	10	0	10	1.1
12	60	0	0	10	10	0	10	1.1
12	70	0	0	10	10	0	10	1.1
