Replicate	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
1	0	0	10	10	0	10	1.1
2	0	0	10	10	0	10	1
3	0	0	10	10	0	10	1
4	0	0	10	10	0	10	1
5	0	0	10	10	0	10	1
6	0	0	10	10	0	10	1.1
7	0	0	10	10	0	10	1.1
8	0.5	2	9	10	0.1	10	1.2
9	1	1	8	9	0.111111111	9	1.2
10	0.5	2	9	10	0.1	10	1
11	0	0	10	10	0	10	1
12	0	0	10	10	0	10	1
13	0	0	10	10	0	10	1.1
14	0	0	10	10	0	10	1
15	0.5	2	9	10	0.1	10	1.2
16	0	0	10	10	0	10	1
17	0	0	10	10	0	10	1.1
18	0	0	10	10	0	10	1
19	0.5	2	9	10	0.1	10	1
20	0	0	9	9	0	9	1
21	0	0	10	10	0	10	1
22	1	2	9	9	0.2	10	1.1
23	0	0	9	9	0	9	1
24	0	0	10	10	0	10	1
25	0	0	10	10	0	10	1
26	0	0	9	9	0	9	1
27	0	0	10	10	0	10	1
28	0	0	9	9	0	9	1
29	3	3	8	9	0.3	10	1.4
30	0	0	10	10	0	10	1
31	0	0	10	10	0	10	1.2
32	1	7	9	9	0.2	10	1.2
33	0	0	10	10	0	10	1
34	0	0	10	10	0	10	1
35	0	0	10	10	0	10	1.1
36	0	0	9	9	0	9	1.4
37	0	0	9	9	0	9	1
38	0	0	10	10	0	10	1
39	0	0	10	10	0	10	1.1
40	0	0	10	10	0	10	1
41	0	0	10	10	0	10	1.1
42	0	0	10	10	0	10	1
43	0	0	10	10	0	10	1.3
44	0	0	10	10	0	10	1
45	0	0	10	10	0	10	1.1
46	0	0	10	10	0	10	1.1
47	0	0	10	10	0	10	1.2
48	0	0	10	10	0	10	1.2
49	1	5	9	9	0.2	10	1.2
50	0	0	10	10	0	10	1
51	0	0	10	10	0	10	1
52	2	2	9	9	0.2	10	1.1
53	0	0	9	9	0	9	1.2
54	0	0	9	9	0	9	1.4
55	0	0	10	10	0	10	1
56	0	0	9	9	0	9	1
57	1	4	8	10	0.2	10	1.2
58	0.5	8	8	9	0.111111111	9	1
59	0.5	2	9	10	0.1	10	1.1
60	0	0	9	9	0	9	1
61	0	0	10	10	0	10	1
62	0	0	10	10	0	10	1
63	0	0	10	10	0	10	1
64	0.5	2	9	10	0.1	10	1.3
65	0	0	10	10	0	10	1
66	0	0	10	10	0	10	1.1
67	0	0	10	10	0	10	1.1
68	1	7	8	10	0.2	10	1.1
69	0	0	10	10	0	10	1
70	0	0	10	10	0	10	1.1
71	0.5	2	8	9	0.111111111	9	1.1
72	0	0	10	10	0	10	1
73	0	0	10	10	0	10	1.1
74	0	0	9	9	0	9	1
75	0	0	10	10	0	10	1
76	1	4	8	10	0.2	10	1.2
77	0	0	9	9	0	9	1
78	0	0	10	10	0	10	1
79	0	0	10	10	0	10	1
80	0.5	2	8	9	0.111111111	9	1.1
81	0.5	3	9	10	0.1	10	1
82	0	0	10	10	0	10	1
83	0.5	2	9	10	0.1	10	1
84	0	0	10	10	0	10	1
85	0	0	10	10	0	10	1.1
86	0	0	10	10	0	10	1.2
87	0	0	9	9	0	9	1
88	0	0	10	10	0	10	1.2
89	0	0	10	10	0	10	1
90	0	0	10	10	0	10	1.1
91	0.5	2	9	10	0.1	10	1
92	0	0	9	9	0	9	1
93	0	0	10	10	0	10	1
94	1	1	9	10	0.1	10	1.2
95	0	0	10	10	0	10	1
96	0	0	9	9	0	9	1.1
97	0.5	3	9	10	0.1	10	1
98	0	0	10	10	0	10	1
99	0	0	10	10	0	10	1
100	0	0	10	10	0	10	1.3
