Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
1	1	1	0	0	10	10	0	10	1.1
1	1	2	13	29	1	10	2.9	10	1.3
1	2	1	0	0	10	10	0	10	1.1
1	2	2	13	29	1	10	2.9	10	1.3
1	3	1	0	0	10	10	0	10	1.1
1	3	2	10	30	1	10	3	10	1.2
1	4	1	0	0	10	10	0	10	1.1
1	4	2	10	28	1	10	2.8	10	1.2
1	5	1	0	0	10	10	0	10	1.3
1	5	2	10	28	1	10	2.8	10	1.2
1	6	1	2.5	4	8	10	0.4	10	1.1
1	6	2	10	28	1	10	2.8	10	1.2
1	7	1	2.5	4	8	10	0.4	10	1.3
1	7	2	13	28	1	10	2.8	10	1.2
1	8	1	3	6	6	10	0.6	10	1.6
1	8	2	13	28	1	10	2.8	10	1.2
1	9	1	7.5	13	5	10	1.3	10	1.7
1	9	2	13	36	2	10	3.6	10	1.2
1	10	1	13	29	1	10	2.9	10	1.3
1	10	2	20	84	0	10	7.875	10	1.1
2	1	1	0	0	10	10	0	10	1
2	1	2	4	7	7	10	0.6	10	1.2
2	2	1	0	0	10	10	0	10	1
2	2	2	4	7	7	10	0.6	10	1.2
2	3	1	0	0	10	10	0	10	1
2	3	2	4	7	7	10	0.6	10	1.3
2	4	1	0	0	10	10	0	10	1
2	4	2	4	7	7	10	0.6	10	1.4
2	5	1	0	0	10	10	0	10	1
2	5	2	7.5	12	5	10	1.1	10	1.2
2	6	1	0	0	10	10	0	10	1
2	6	2	7.5	12	5	10	1.1	10	1.4
2	7	1	0	0	10	10	0	10	1
2	7	2	14.5	-61281	3	10	2.8	10	1.3
2	8	1	0	0	10	10	0	10	1
2	8	2	21	-61262	1	10	5.2	10	1.1
2	9	1	0.5	2	9	10	0.1	10	1.1
2	9	2	21	-61262	1	10	5.2	10	1.1
2	10	1	4	7	7	10	0.6	10	1.2
2	10	2	21	-61262	1	10	5.2	10	1.1
3	1	1	0	0	10	10	0	10	1
3	1	2	8.5	27	1	10	2.7	10	1.4
3	2	1	0	0	10	10	0	10	1
3	2	2	8.5	25	1	10	2.5	10	1.3
3	3	1	0	0	10	10	0	10	1
3	3	2	8.5	26	1	10	2.6	10	1.3
3	4	1	0	0	10	10	0	10	1
3	4	2	8.5	25	1	10	2.5	10	1.4
3	5	1	0	0	10	10	0	10	1
3	5	2	8.5	26	1	10	2.6	10	1.3
3	6	1	0.5	2	8	10	0.2	10	1
3	6	2	13	33	0	10	3.3	10	1.2
3	7	1	1	4	6	10	0.4	10	1.3
3	7	2	13	34	0	10	3.4	10	1.6
3	8	1	4.5	16	3	10	1.6	10	1.3
3	8	2	13	36	0	10	3.6	10	1.6
3	9	1	7	21	2	10	2.1	10	1.2
3	9	2	15.5	74	0	10	7.4	10	1.5
3	10	1	8.5	27	1	10	2.7	10	1.4
3	10	2	15.5	74	0	10	7.4	10	1.5
4	1	1	0	0	10	10	0	10	1
4	1	2	8	30	4	10	3	10	1.2
4	2	1	0	0	10	10	0	10	1
4	2	2	8.5	32	4	10	3.2	10	1.2
4	3	1	0	0	10	10	0	10	1
4	3	2	7.5	29	4	10	2.9	10	1
4	4	1	0	0	10	10	0	10	1
4	4	2	7.5	27	4	10	2.7	10	1.1
4	5	1	0	0	10	10	0	10	1
4	5	2	12	39	3	10	3.9	10	1.1
4	6	1	1.5	3	8	10	0.3	10	1.3
4	6	2	12.5	32	2	10	3.3	10	1.3
4	7	1	2.5	4	8	10	0.4	10	1.3
