Replicate	RFDist	MCDist
1	0.0000	0.0000
2	1.0000	1.0000
3	0.0000	0.0000
4	0.0000	0.0000
5	0.0000	0.0000
6	2.0000	2.0000
7	3.0000	3.0000
8	1.0000	1.0000
9	0.0000	0.0000
10	0.0000	0.0000
11	0.5000	2.0000
12	1.0000	1.0000
13	2.0000	2.0000
14	2.5000	4.0000
15	1.5000	3.0000
16	0.5000	3.0000
17	0.0000	0.0000
18	0.5000	4.0000
19	0.0000	0.0000
20	1.0000	1.0000
21	6.0000	6.0000
22	0.0000	0.0000
23	0.0000	0.0000
24	1.0000	1.0000
25	4.5000	6.0000
26	0.0000	0.0000
27	0.0000	0.0000
28	4.0000	4.0000
29	0.0000	0.0000
30	0.0000	0.0000
31	1.0000	1.0000
32	1.0000	1.0000
33	1.0000	1.0000
34	0.0000	0.0000
35	1.0000	4.0000
36	3.0000	4.0000
37	0.0000	0.0000
38	1.0000	1.0000
39	3.0000	3.0000
40	1.0000	1.0000
41	2.0000	2.0000
42	0.5000	2.0000
43	3.5000	13.0000
44	1.5000	3.0000
45	1.5000	3.0000
46	3.0000	3.0000
47	2.0000	2.0000
48	2.0000	7.0000
49	1.0000	1.0000
50	1.0000	1.0000
51	0.0000	0.0000
52	1.5000	3.0000
53	0.0000	0.0000
54	2.0000	2.0000
55	1.0000	1.0000
56	0.0000	0.0000
57	0.0000	0.0000
58	0.5000	2.0000
59	0.0000	0.0000
60	0.0000	0.0000
61	1.0000	378.0000
62	2.0000	10.0000
63	0.0000	0.0000
64	0.0000	0.0000
65	0.0000	0.0000
66	1.0000	1.0000
67	4.0000	4.0000
68	0.0000	0.0000
69	1.5000	4.0000
70	0.0000	0.0000
71	2.5000	4.0000
72	3.0000	221.0000
73	0.5000	4.0000
74	0.5000	2.0000
75	9.5000	11.0000
76	3.5000	6.0000
77	0.0000	0.0000
78	4.0000	4.0000
79	1.0000	1.0000
80	0.0000	0.0000
81	3.0000	3.0000
82	0.0000	0.0000
83	0.0000	0.0000
84	1.0000	1.0000
85	0.0000	0.0000
86	0.0000	0.0000
87	0.5000	2.0000
88	0.5000	2.0000
89	1.0000	1.0000
90	1.0000	1.0000
91	2.5000	7.0000
92	1.5000	3.0000
93	1.5000	3.0000
94	4.0000	4.0000
95	2.0000	2.0000
96	0.0000	0.0000
97	0.5000	2.0000
98	1.0000	4.0000
99	5.5000	23.0000
100	0.5000	3.0000
